Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Animals_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Crop_Cover_Mean,Article_Tittle 
"Al Hassan et al. (2012, 2013)",p29,sub13,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1917813,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub14,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09398739,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub15,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2213448,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub16,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2513868,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub17,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2046228,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub18,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1876431,48,250_m_R,87.09145,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub19,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2096907,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub20,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1346609,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub21,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Animals,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1698466,48,500_m_R,85.21008,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
"Al Hassan et al. (2012, 2013)",p29,sub22,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,NA,NA,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05518271,48,100_m_R,90.03051,Relationship between the abundance of aphids and their natural enemies in crop fields and landscape composition; Does the presence of grassy strips and landscape grain affect the spatial distribution of aphids and their carabid predators?
