Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale
Dominik et al. (2018),p28,sub10,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.007830016,187,100_m_R
Dominik et al. (2018),p28,sub11,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.08924391,187,200_m_R
Dominik et al. (2018),p28,sub12,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Pests,NA,Herbivores,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0652286,187,300_m_R
"Al Hassan et al. (2012, 2013)",p29,sub22,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05518271,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub23,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1695458,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub24,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09582995,48,100_m_R
"Al Hassan et al. (2012, 2013)",p29,sub25,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05765596,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub26,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1404078,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub27,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06392887,48,250_m_R
"Al Hassan et al. (2012, 2013)",p29,sub28,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01292008,48,500_m_R
"Al Hassan et al. (2012, 2013)",p29,sub29,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1040588,48,500_m_R
"Al Hassan et al. (2012, 2013)",p29,sub30,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1485831,48,500_m_R
Dainese et al. (2017),p48,sub358,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09470615,26,100_m_R
Dainese et al. (2017),p48,sub359,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.04045688,26,250_m_R
Dainese et al. (2017),p48,sub360,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.04154249,26,500_m_R
Dainese et al. (2017),p48,sub361,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.06129265,26,1000_m_R
Janković et al. (2017),p56,sub508,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2699212,26,100_m_R
Janković et al. (2017),p56,sub509,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2472713,26,100_m_R
Janković et al. (2017),p56,sub510,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02335142,26,100_m_R
Janković et al. (2017),p56,sub511,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05634795,26,100_m_R
Janković et al. (2017),p56,sub512,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.329184,26,100_m_R
Janković et al. (2017),p56,sub513,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.01093249,26,250_m_R
Janković et al. (2017),p56,sub514,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1056313,26,250_m_R
Janković et al. (2017),p56,sub515,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1486253,26,250_m_R
Janković et al. (2017),p56,sub516,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2376141,26,250_m_R
Janković et al. (2017),p56,sub517,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.01295631,26,250_m_R
Janković et al. (2017),p56,sub518,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1875978,26,500_m_R
Janković et al. (2017),p56,sub519,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09885502,26,500_m_R
Janković et al. (2017),p56,sub520,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2539194,26,500_m_R
