Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Scale_Cat
Ande01 ,p30,sub1,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1380812,60,100_m_R,A_LocalScale
Ande01 ,p30,sub2,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2121139,60,100_m_R,A_LocalScale
Ande01 ,p30,sub3,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1448996,60,100_m_R,A_LocalScale
Ande01 ,p30,sub4,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2689743,60,250_m_R,A_LocalScale
Ande01 ,p30,sub5,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2852648,60,250_m_R,A_LocalScale
Ande01 ,p30,sub6,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1203522,60,250_m_R,A_LocalScale
Ande01 ,p30,sub7,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3352282,60,500_m_R,LandscapeScale_1
Ande01 ,p30,sub8,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3294456,60,500_m_R,LandscapeScale_1
Ande01 ,p30,sub9,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1703272,60,500_m_R,LandscapeScale_1
Ande01 ,p30,sub10,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3683203,60,1000_m_R,LandscapeScale_2
Ande01 ,p30,sub11,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3174137,60,1000_m_R,LandscapeScale_2
Ande01 ,p30,sub12,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1294561,60,1000_m_R,LandscapeScale_2
Ande01 ,p30,sub13,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3458069,60,2000_m_R,LandscapeScale_2
Ande01 ,p30,sub14,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3219577,60,2000_m_R,LandscapeScale_2
Ande01 ,p30,sub15,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1891219,60,2000_m_R,LandscapeScale_2
Ande01 ,p30,sub16,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4148521,60,3000_m_R,LandscapeScale_2
Ande01 ,p30,sub17,Sweden,"Scania, southernmost region of Sweden",Temperate,Cereals,Invertebrates,Invertebrates,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4795759,60,3000_m_R,LandscapeScale_2
