Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Scale_Cat
Dominik et al. (2018),p28,sub1,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,NA,NA (mostly spiders),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1214217,187,100_m_R,A_LocalScale
Dominik et al. (2018),p28,sub2,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09002159,187,100_m_R,A_LocalScale
Dominik et al. (2018),p28,sub3,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,NA,NA (mostly spiders),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1078151,187,200_m_R,A_LocalScale
Dominik et al. (2018),p28,sub4,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1329593,187,200_m_R,A_LocalScale
Dominik et al. (2018),p28,sub5,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,NA,NA (mostly spiders),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3002621,187,300_m_R,A_LocalScale
Dominik et al. (2018),p28,sub6,The Philippines,Luzon island ,Tropical,Rice,Invertebrates,Invertebrates,Predators,Hymenoptera,Parasitoids,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1880319,187,300_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub7,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1917813,48,100_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub8,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.09398739,48,100_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub9,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2213448,48,100_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub10,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2513868,48,250_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub11,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2046228,48,250_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub12,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1876431,48,250_m_R,A_LocalScale
"Al Hassan et al. (2012, 2013)",p29,sub13,France,"Brittany, West- ern France, 48°36 ́n, 1°32 ́W",Temperate,Wheat and maize,Invertebrates,Invertebrates,Predators,Coleoptera,Carabid_beetles,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2096907,48,500_m_R,LandscapeScale_1
